Product name,Prices,Description,Review,Brand
"Samsung Galaxy A55 5G (Awesome Iceblue, 256 GB)",48890,12 GB RAM | 256 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) Full HD+ Display50MP + 12MP + 5MP | 32MP Front Camera5000 mAh BatteryExynos 1480 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.3,Samsung
"OnePlus 13R 5G (Nebula Noir, 256 GB)",41799,12 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Display50MP Rear Camera6000 mAh Battery1 year manufacturer warranty for device and 1 year manufacturer warranty for in-box accessories including batteries from the date of purchase,4.5,OnePlus
"vivo T5x 5G (Cyber Green, 128 GB)",22999,6 GB RAM | 128 GB ROM17.17 cm (6.76 inch) Display50MP + 2MP | 32MP Front Camera7200 mAh Li-ion BatteryDimensity 7400-Turbo Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.4,vivo
"vivo T5x 5G (Star Silver, 256 GB)",26999,8 GB RAM | 256 GB ROM17.17 cm (6.76 inch) Display50MP + 2MP | 32MP Front Camera7200 mAh Li-ion BatteryDimensity 7400-Turbo Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.4,vivo
"OnePlus 13R 5g (Astral Trail, 256 GB)",44999,12 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Display50MP Rear Camera6000 mAh Battery1 year manufacturer warranty for device and 1 year manufacturer warranty for in-box accessories including batteries from the date of purchase,4.5,OnePlus
"Samsung Galaxy S24 FE 5G (Blue, 256 GB)",45999,8 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Full HD+ Display50MP + 12MP + 8MP | 10MP Front Camera4700 mAh BatteryExynos 2400e Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.5,Samsung
CYOR Flip Cover for VIVO X90 5G,288,"Suitable For: MobileMaterial: Artificial Leather, RubberTheme: No ThemeType: Flip Cover7 Days Replacement only",4.4,CYOR
Roxel Flip Cover for Vivo X90 5G |Vegan PU Leather |Foldable Stand & Pocket |Magnetic Closure,328,Suitable For: MobileMaterial: Artificial LeatherTheme: No ThemeType: Flip CoverVerified Product,4.3,Roxel
"realme Gt 7 (Icesense Blue, 512 GB)",41999,12 GB RAM | 512 GB ROM17.22 cm (6.78 inch) Full HD+ AMOLED Display50MP + 50MP + 50MP + 8MP | 32MP + 32MP Dual Front Camera7000 mAh BatteryDimensity Processor1 Year manufacturer Warranty for handset & 6 months for accessories,4.6,realme
"vivo V70 FE (Northern Lights Purple, 256 GB)",40999,8 GB RAM | 256 GB ROM17.35 cm (6.83 inch) Full HD+ AMOLED Display200MP + 8MP | 50MP Front Camera7000 mAh Li-ion BatteryDimensity 7360-Turbo Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.5,vivo
"OnePlus 12 (Glacial White, 256 GB)",48775,12 GB RAM | 256 GB ROM17.32 cm (6.82 inch) Full HD+ AMOLED Display50MP Rear Camera5400 mAh BatteryQualcomm SM8650-AB Snapdragon 8 Gen 3 (4 nm) Processor1 Year manufacturer warranty for device and 1 year manufacturer warranty for in-box accessories including batteries from the date of purchase,4.5,OnePlus
"IQOO Neo 10 (Alpine White, 256 GB)",40798,"8 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Full HD+ Super AMOLED Display50MP Rear Camera7000 mAh BatteryQualcomm Snapdragon 8s Gen 4 ProcessorDuration: 1 Year for the Device; 6 Months for In-box accessories (Charger, Cable).

Coverage: Manufacturing defects and functional faults.

Replacement Policy: Defective items may be eligible for repair or replacement at an authorized service center.

Software Updates: The device includes 3 years of Android OS updates and 4 years of security patches.

Excluded from Warranty: Damages caused by liquid/moisture entering the device, physical damage, unauthorized repairs, or use of non-original accessories",4.4,IQOO
"OPPO Reno14 5G (Forest Green, 512 GB)",47999,12 GB RAM | 512 GB ROM16.74 cm (6.59 inch) Display50MP + 8MP + 50MP | 50MP Front Camera6000 mAh BatteryDimensity 8350 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,4.5,OPPO
"OPPO Reno13 5G (Ivory White, 256 GB)",40999,8 GB RAM | 256 GB ROM16.74 cm (6.59 inch) Display50MP + 8MP + 2MP | 50MP Front Camera5600 mAh BatteryDimensity 8350 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,4.5,OPPO
"MOTOROLA edge 70 pro (Satin-Luxe PANTONE Tea (Green), 256 GB)",41999,12 GB RAM | 256 GB ROM17.27 cm (6.8 inch) Full HD+ Super AMOLED Display50MP + 50MP | 50MP Front Camera6500 mAh Silicon-Carbon BatteryDimensity 8500 Extreme Processor1 Year on Handset and 6 Months on Accessories,4.5,MOTOROLA
"OnePlus Nord 6 (Fresh Mint, 256 GB)",41999,"8 GB RAM | 256 GB ROM | Expandable Upto 256 GB17.22 cm (6.78 inch) Full HD+ Display50MP Rear Camera9000 mAh Battery4 octa-core processor Processorone-year limited warranty starting from the date of delivery, covering manufacturing defects in materials and workmanship",4.6,OnePlus
"MOTOROLA edge 70 pro (Marble - PANTONE Lily white (white), 256 GB)",41999,12 GB RAM | 256 GB ROM17.27 cm (6.8 inch) Full HD+ Super AMOLED Display50MP + 50MP | 50MP Front Camera6500 mAh Silicon-Carbon BatteryDimensity 8500 Extreme Processor1 Year on Handset and 6 Months on Accessories,4.0,MOTOROLA
"vivo V70 (Lemon Yellow, 256 GB)",49999,8 GB RAM | 256 GB ROM16.74 cm (6.59 inches) Full HD+ AMOLED Display50MP + 50MP + 8MP | Yes6500 mAh Li-ion battery BatterySnapdragon 7 Gen 4 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,4.5,vivo
